Page ID,Page name,Disclaimer,Amount spent (MYR)
101779739413941,Hj. Shamsul Ma'arif Ismail,AMANAH,436
100208706254218,Aminuddin Hanafiah,BN Comms,432
130114577096206,刘镇东,DAP Malaysia,404
103091001499691,Ideal Estate 4 U,Chee Keong Sum,398
135856610910,Liew Chin Tong,DAP Malaysia,393
107047938456392,Jam2u.com,VIDARA SDN BHD,392
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS),390
110694081848478,Hj. Ahmad Luqman Ahmad Yahaya,Ahmad Luqman,375
106011334390392,陈家兴,Parti Keadilan Rakyat Gopeng,370
109369361740547,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,362
122913508099,Parti Gerakan Rakyat Malaysia,PGRM,357
217391881631388,SAYS,SAYS,354
333762569997423,Dato' Sri Tuan Ibrahim bin Tuan Man,Dato' Sri Tuan Ibrahim bin Tuan Man,350
134750209898122,Chang Lih Kang,Parti Keadilan Rakyat,349
106894858726624,Save the Children International,These ads ran without a disclaimer,347
1560866277543941,Dr Radzi Jidin,Era Baharu Putrajaya,343
223180581163143,Jagdeep Singh Deo 'Serving the People',Usha A/p Balakrishnan,340
727311000732682,Parti Amanah Negara Parlimen Larut,AMANAH,340
47298465905,Malaysiakini,FG Media Sdn Bhd,336
92562929270,Hot FM,Hot FM,324
135289458465,NST Online,NST Online,320
31373189944,Malaysiakini BM,FG Media Sdn Bhd,312
429038187157498,Nicole Tan Lee Koon（陳麗群）,Nicole Tan Lee Koon,311
1859533377640992,Zulfadli Hj Zainal,Zulfadli Hj Zainal,311
165261770971041,Ustaz Sabri Azit,USTAZ SABRI AZIT,308
288570577986480,Khairol Najib,Khairol Najib,304
107023271786947,Molek FM,Molek FM,300
202914883373859,Manivanan Gowin,G.Manivannan A/L Gowindasamy,289
221096761346,Utusan Online,Media Mulia Sdn Bhd,287
1854296828127798,Parti Amanah Negara Parit Buntar,Parti Amanah Negara Parit Buntar,283
122375574472796,Wong Chai Yi,Parti Keadilan Rakyat Cabang Gopeng,283
135643903798815,Onn Hafiz Ghazi,Onn Hafiz Bin Ghazi,278
428782500998481,Cally Ting Zhao Song,Ting Zhao Song,273
120324739939875,Jom Sihat,These ads ran without a disclaimer,268
104396348051418,DrNajihatussalehah Ahmad,DrNajihatussalehah Ahmad,266
446352142470360,Ustaz Marzuk Shaary,Ahmad Marzuk Bin Shaary,265
106433078866990,Jus Ceda Solusi Buasir,Amin Farhan Bin Azami,259
179950305417081,Dewan Muslimat PAS Malaysia - DMPM,Widanita Shahnaz Bt Mohd Mokhsin,259
108713149189581,馬來西亞東方日報 Oriental Daily News Malaysia,馬來西亞東方日報 Oriental Daily News Malaysia,255
204588107159019,Projek Imarah Masjid,These ads ran without a disclaimer,250
1481225741958270,YB Arafat - Pusat Khidmat Rakyat ADUN Hulu Kinta,Muhamad Arafat Bin Varisai Mahamad,250
102416408995926,Tahfiz Kebajikan Ar Razali,Tahfiz Kebajikan Ar Razali,250
643562522335339,KyoChon Malaysia,These ads ran without a disclaimer,248
384090614928,Khoo Poay Tiong (邱培栋),DAP Malaysia,238
1684261028524641,Pusat Pengajian Ibnu Razak,Pusat Pengajian Ibnu Razak,232
103741035747970,Masjid Kariah Bandar Perdana II,These ads ran without a disclaimer,222
202159623191198,Kosmo Online,Kosmo Online,222
100419352856507,BN COMMS Kulim / Bandar Baharu,Nuraini Yusoff,221
1534279376863760,BK Tan 陈浩坤,These ads ran without a disclaimer,214
107211378784840,牛熊投资 - 得牛熊得天下,These ads ran without a disclaimer,213
1726648214218427,Ustaz Muhammad Fawwaz Mohamad Jan,USTAZ MUHAMMAD FAWWAZ MOHAMAD JAN,212
107201848430984,民兴党Warisan中文版,Cheng Kuan Keet,211
736399970046124,Saarani Mohamad,These ads ran without a disclaimer,211
105849531564453,有间书馆,These ads ran without a disclaimer,210
114328140220644,Perikatan Nasional Tanjong Malim,Wan Harisun,206
1792548424157249,Media Sungai Buloh P107,Media Sungai Buloh P107,205
164492150267814,Dewan Muslimat PAS Melaka,Dewan Muslimat PAS Melaka,204
103341938369318,Sallehuddin Bin Abdullah,Sallehuddin Bin Abdullah,203
194176867658730,Chua Jian Boon 蔡建文,Jian Boon Chua,196
1419575668348742,Gerakan Muafakat,Mohd Rais Bin Omar,191
100470582836876,YB Nolee Radzi,Wan Harisun,188
112544443805284,怡保富贵（富宝）山庄 Nirvana Memorial Park Ipoh - APG -,These ads ran without a disclaimer,186
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,185
110633418047043,DARE,DARE,182
1585846288355825,Tan Chuan Hong 陈诠峰,Tan Chuan Hong 陈诠峰,180
109915115239061,Perikatan Nasional Parit Buntar,Mohamad Faiz Bin Osrin,178
104915965762423,Tabung Kompleks Pembangunan IREC,Muhammad Fakhrur Razi Al Hafiy,175
100198111512198,Munzirie Kabir,Parti Amanah Negara,174
