Page ID,Page name,Disclaimer,Amount spent (MYR)
150371651783435,Yeo Bee Yin（杨美盈）,Yeo Bee Yin,304
446376772194584,宾果日报 Bingo Daily,Bingo Daily,300
109918387978015,沒有中間商賺差價,These ads ran without a disclaimer,293
135091239861609,Nur Jazlan Mohamed,Nur Jazlan Mohamed,277
511188415592658,Dr. Fathul Bari,Dr. Fathul Bari,276
1560866277543941,Dr Radzi Jidin,Era Baharu Putrajaya,266
678811362163260,Ir. Ts. Khairil Nizam,Pejabat Penerangan,266
102136629894327,Greenpeace Malaysia,Greenpeace Malaysia Sdn Bhd,265
182750565693116,Calon Pakatan Harapan dun  Pelangai N036,Calon Pakatan Harapan dun  Pelangai N036,262
112290654989421,Anak Muda Prihatin Temerloh,Anak Muda Prihatin Temerloh,249
428782500998481,Cally Ting Zhao Song,Cally Ting Zhao Song,248
871466503221859,BN Semambu,These ads ran without a disclaimer,245
106433078866990,Jus Ceda Solusi Buasir,Amin Farhan Bin Azami,241
16194831839,Anwar Ibrahim,Anwar Ibrahim,235
122913508099,Parti Gerakan Rakyat Malaysia,PGRM,234
332038484056135,Hassanuddin Salim,Hassanuddin Salim,234
135643903798815,Onn Hafiz Ghazi,Onn Hafiz Bin Ghazi,226
92562929270,Hot FM,Hot FM,220
103028117867613,Mohd Fadzli Mohd Ramly Official,AMANAH,220
106894858726624,Save the Children International,These ads ran without a disclaimer,217
103246701511889,Azizul Shah - N32 Kuala Semantan,Azizul Shah Mohd Noor,216
446352142470360,Ustaz Marzuk Shaary,Ahmad Marzuk Bin Shaary,215
173935606013378,PahangKu Media,PahangKu Media,209
109027035331138,Malaysia Diplomacy News Agency,Henry Kueh Hsiao Wei,207
217391881631388,SAYS,SAYS,207
242385762996479,Che Alias Hamid,Che Alias Hamid,204
221096761346,Utusan Online,Media Mulia Sdn Bhd,200
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,196
107023271786947,Molek FM,Molek FM,195
102416408995926,Tahfiz Kebajikan Ar Razali,Tahfiz Kebajikan Ar Razali,193
107357008829274,Nizar Najib NN11,These ads ran without a disclaimer,191
204588107159019,Projek Imarah Masjid,These ads ran without a disclaimer,191
289963741156793,We Fully Support BN 我们全力支持国阵,We Fully Support BN 我们全力支持国阵,186
120324739939875,Jom Sihat,These ads ran without a disclaimer,183
1684261028524641,Pusat Pengajian Ibnu Razak,Pusat Pengajian Ibnu Razak,179
179950305417081,Dewan Muslimat PAS Malaysia - DMPM,Widanita Shahnaz Bt Mohd Mokhsin,177
638401542848443,Shamsul Anuar Nasarah,Barisan Nasional,175
101284346112101,Selangorify,ASM Media,175
103741035747970,Masjid Kariah Bandar Perdana II,These ads ran without a disclaimer,171
47298465905,Malaysiakini,FG Media Sdn Bhd,170
108649128731609,P.085 Mohd Naim Zainal Abidin,Atiff Badruldin,166
110652309275071,李健聪,PARTI KEADILAN RAKYAT,158
135856610910,Liew Chin Tong,DAP Malaysia,155
135289458465,NST Online,NST Online,154
195775758651,Lee Chean Chung,PARTI KEADILAN RAKYAT,154
109369361740547,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,146
