Page ID,Page name,Disclaimer,Amount spent (MYR)
212554495440954,Dato Sri Izudin Ishak,Izudin Bin Ishak,480
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS) Pusat,478
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,460
1395571097151964,Rakyat Sarawak Kini,Rakyat Sarawak Kini,459
269301935826,ROTIKAYA,ROTIKAYA,454
102416408995926,Tahfiz Kebajikan Ar Razali,Tahfiz Kebajikan Ar Razali,439
92562929270,Hot FM,Hot FM,438
428782500998481,Cally Ting Zhao Song,Cally Ting Zhao Song,433
446352142470360,Ustaz Marzuk Shaary,Ahmad Marzuk Bin Shaary,430
202914883373859,Manivanan Gowin,G.Manivannan A/L Gowindasamy,428
287683225711,UN Environment Programme,UN Environment Programme,425
223180581163143,Jagdeep Singh Deo 'Serving the People',Usha A/p Balakrishnan,424
103737675572838,TNB - 被怀疑偷电，被指责，被起诉 - 怎么办 ？    Sued by TNB ? How to go about next ?,These ads ran without a disclaimer,424
384090614928,Khoo Poay Tiong (邱培栋),DAP Malaysia,418
236402373940290,Syahredzan Johan,Syahredzan Johan,415
318368621577316,Fadhli Shaari,Fadhli Shaari,409
100856848499442,Dr. Abd Latiff Ahmad,Mohd Ikhmal Abu Bakar,402
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS),401
658336284498542,Dato' Mohd Rosli Ramli,Dato' Mohd Rosli Ramli,398
2737071922975168,International Conference on Cohesive Societies,These ads ran without a disclaimer,395
106433078866990,Jus Ceda Solusi Buasir,Amin Farhan Bin Azami,395
511188415592658,Dr. Fathul Bari,Dr. Fathul Bari,395
104084615851067,Phaang Jing Fatt 彭健發,Gerakan,388
100569215711534,Sinar Daily,Sinar Daily,385
149767413633,Safety Driving Centre (M) Sdn Bhd,These ads ran without a disclaimer,380
429038187157498,Nicole Tan Lee Koon（陳麗群）,Nicole Tan Lee Koon,378
102780751193893,Threebs.co,Threebs.co,373
107023271786947,Molek FM,Molek FM,365
157791694829873,Manndzri,Manndzri,365
171292564033,Hannah Yeoh,Hannah Yeoh,363
166738750044444,Sunway Group,Christine Lim May Chuen,360
143451526401157,Abdul Rahim Tahir For P.063 Tambun,Abdul Rahim Bin Tahir,348
