Page ID,Page name,Disclaimer,Amount spent (MYR)
172896853380686,Adamelgabry,These ads ran without a disclaimer,111
157791694829873,Manndzri,Manndzri,107
196573983368,Harakahdaily,JABATAN PENERANGAN,106
1955662711111123,Apa Kata Orang,Apa Kata Orang,104
103883872539224,Ridhwan Rasman P156 Kota Tinggi,Umar Bin Abdul Aziz,103
330750857632133,Che'GuBard Original,Ahmad Anwar Asyraf Bin Ismail,102
104915965762423,Tabung Kompleks Pembangunan IREC,Muhammad Fakhrur Razi Al Hafiy,≤100
115195725281815,Noh Omar,Noh Omar,≤100
102563918896038,Perikatan Nasional for Malaysia,Widanita Shahnaz Bt Mohd Mokhsin,≤100
217285405008524,Wong Chen,Wong Chen,≤100
104799122395213,Berita Pengeluaran Duit Ajaib Halal,These ads ran without a disclaimer,≤100
109530075225317,Rezeki Infaq,Nurhaniz Binti Mohamad Shah,≤100
654227084641097,Datuk Dr. Zulkifli Mohamad al-Bakri,Datuk Dr. Zulkifli Mohamad al-Bakri,≤100
1173992416022994,Wardah Media,Wardah Media,≤100
212554495440954,Dato Sri Izudin Ishak,Izudin Bin Ishak,≤100
528262633921715,Pemuda PAS Shah Alam,Pemuda PAS Shah Alam,≤100
108722695160066,Haji Mohamed Diah,Atiqah Husna,≤100
1481225741958270,YB Arafat - Pusat Khidmat Rakyat ADUN Hulu Kinta,Parti Keadilan Rakyat,≤100
135856610910,Liew Chin Tong,DAP Malaysia,≤100
87433504191,Democratic Action Party,Democratic Action Party,≤100
1298058263542976,Setia Pak Mail,Setia Pak Mail,≤100
103627275288286,Lumi News Malaysia,These ads ran without a disclaimer,≤100
104637804225920,NTS Printing,NTS Printing,≤100
169284053121990,Pemuda PAS Bangi,These ads ran without a disclaimer,≤100
262044791166,TV3 Malaysia,TV3 Malaysia,≤100
1534279376863760,BK Tan 陈浩坤,These ads ran without a disclaimer,≤100
1792548424157249,Media Sungai Buloh P107,Media Sungai Buloh P107,≤100
38348181435,Khalid Samad,AMANAH,≤100
112271548150918,Al Fahana,These ads ran without a disclaimer,≤100
214066990599,Berita Harian Online,These ads ran without a disclaimer,≤100
153786688607396,Ustaz Nurul Amin Hamid,Mohd Huzaifah,≤100
223180581163143,Jagdeep Singh Deo 'Serving the People',Usha A/p Balakrishnan,≤100
109397945250592,Rumah Selangorku Cyberjaya,These ads ran without a disclaimer,≤100
565488766825046,Hasbie Muda,AMANAH,≤100
111064911526774,Advanced Centre for Addiction Treatment Advocacy - ACATA,Advanced Centre for Addiction Treatment Advocacy - ACATA,≤100
287683225711,UN Environment Programme,UN Environment Programme,≤100
109792845262508,Zanariyah Abdul Hamid,Widanita Shahnaz Bt Mohd Mokhsin,≤100
131870563493026,OHBULAN!,Rev Media Group,≤100
430665967118189,Profesional Istiqamah,Profesional Istiqamah,≤100
371737160366,Sarawak Update,Abdul Hakim Bin Bujang,≤100
106853461821165,Anuar Daud,Rafi'uddin Bin Kamaruddin,≤100
239569229428097,IKEA,These ads ran without a disclaimer,≤100
194176867658730,Chua Jian Boon 蔡建文,Jian Boon Chua,≤100
16194831839,Anwar Ibrahim,Anwar Ibrahim,≤100
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100
394980734370655,KorokSado,These ads ran without a disclaimer,≤100
113456700986972,Malaysia Momentum,Malaysia Harmoni,≤100
100251029574040,Hj Lihin P141Sekijang,Norsyahril Bin Kamarudin,≤100
1860176704045973,PAS Kawasan Kuala Kedah,Muhammad Asyraf Bin Anor,≤100
663424353704332,sinarplus,SinarPlus,≤100
166738750044444,Sunway Group,Christine Lim May Chuen,≤100
2164630037156785,Adly Zahari,AMANAH,≤100
369244243546,Kementerian Kewangan Malaysia,These ads ran without a disclaimer,≤100
928874154117959,Azli Yusof,AMANAH,≤100
165772956766692,Idris Ahmad,Idris Ahmad,≤100
116228488411898,CIDB Malaysia,Construction Industrial Development Board (CIDB) Malaysia,≤100
111620640684771,Dato' Indera Hj Mustaffar Kamal b Ab Hamid,Dato' Indera Hj Mustaffar Kamal b Ab Hamid,≤100
446376772194584,宾果日报 Bingo Daily,Bingo Daily,≤100
1842657632659388,Baljit Singh,Baljit Singh,≤100
811566692326278,Ab Hamid,Salman Bin Mohd Zaki,≤100
103211355844396,Nazari Mokhtar,Nazari Mokhtar,≤100
139480122842692,OLDTOWN White Coffee Malaysia,These ads ran without a disclaimer,≤100
226641550769331,Dilmah Conservation,These ads ran without a disclaimer,≤100
384090614928,Khoo Poay Tiong (邱培栋),DAP Malaysia,≤100
179976812184601,Ewon Ebin,Oscar Donavan E Ebin,≤100
